StartDate,search,queries_1,queries_2,queries_3,news freq,age,gender,politics,education
,Have you ever searched for conspiracy theory topics?,"Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #1","Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #2","Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #3",How often do you get your news from YouTube? ,What is your age range?,What is your gender? ,What is your political affiliation?,What is the highest education level you've completed?
2021-12-21 15:36:54,Yes,Rock melting in India,Free energy machines,Levitation devices,8,50-59,Male,Hard right,High school
2021-12-21 15:49:08,Yes,Flat earthers,Who killed JFK?,Where is Bigfoot?,5,50-59,Male,Lean left,High school
2021-12-21 15:59:00,Yes,chips in vaccine,Kennedy assasination,No moon landing,2,50-59,Male,Hard left,Bachelor's degree
2021-12-21 16:07:49,No,qanon,jfk,aliens,0,40-49,Male,Hard left,High school
2021-12-21 16:22:42,Yes,Who are lizard people?,Moon Hoax,Are UFO's being hidden by the government,5,40-49,Female,Hard right,Bachelor's degree
2021-12-21 16:58:44,Yes,jfk assassination,mkultra,jeffrey epstein murdered,1,30-39,Male,Hard right,Bachelor's degree
2021-12-21 17:36:05,Yes,alien abduction,vaccine misconceptions,government tracking,2,40-49,Female,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2021-12-21 18:33:23,No,moon landing,JFK shooting ,COVID cell phone,0,30-39,Male,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2021-12-21 18:41:52,No,qanon,Jan 6,covid19,7,30-39,Female,Moderate/centrist,Associate's degree
2022-01-24 13:47:39,Yes,911 planes,sandy hook,boston marathon,0,50-59,Male,Hard left,High school
2022-01-24 13:58:13,No,qanon,government coverup,fake news,0,30-39,Female,Hard left,Bachelor's degree
2022-01-24 13:58:54,Yes,flat earth,reptillian,chips in vaccine,5,30-39,Male,Moderate/centrist,High school
2022-01-24 14:27:40,No,what really happened,fake news,cover up,3,30-39,Male,Lean left,Bachelor's degree
2022-01-24 14:45:44,No,anti vaxx,stolen election,JFK,0,60+,Male,Lean left,High school
2022-01-24 14:51:40,Yes,Illuminati,Agenda 2030,Aliens,8,40-49,Male,Lean right,Bachelor's degree
2022-01-24 15:26:18,Yes,flat earth stars,flu disappeared,remvesidir,1,60+,Female,Prefer not to say,Bachelor's degree
2022-01-24 16:13:35,No,fake moon landing,9/11 inside job,jfk assassination conspiracy,0,30-39,Male,Hard left,Bachelor's degree
2022-01-29 13:59:32,No,bermuda theories ,alien abductions,atlantis,0,30-39,Female,Moderate/centrist,High school
2022-01-29 13:59:36,Yes,New World Order,One World Government,Fake Moon Landing,4,40-49,Male,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-01-29 14:03:25,Yes,9-11 attack ,Kennedy shooting ,Covid vaccinations ,0,50-59,Female,Hard left,High school
2022-01-29 14:12:07,No,UFO coverup,faked moon landing,JFK's assassination,3,30-39,Male,Lean right,Bachelor's degree
2022-01-29 14:25:32,Yes,kennedy assassination,911 truth,roswell,10,50-59,Male,Lean left,High school
2022-01-29 14:23:03,Yes,jimmy hoffa death,aliens working as CIA,illuminati,10,30-39,Female,Hard left,High school
2022-01-29 15:39:36,No,JFK's assisination,Aliens and UFOs,Moon Landing Fake,0,30-39,Female,Moderate/centrist,Bachelor's degree
2022-01-29 16:01:15,Yes,who killed JFK?,are aliens real?,who is behind bitcoin?,8,40-49,Male,Hard right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-01-31 14:23:03,No,conspiracies,illumninati,secrets,0,40-49,Male,Moderate/centrist,High school
2022-01-31 14:36:36,Yes,was 9/11 orchestrated ,is the government behind 9/11,did the government knock down the twin towers,7,30-39,Female,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-01-31 14:41:38,Yes,mandela effect,9/11 real or fake,coronavirus came from lab,1,40-49,Female,Lean right,High school
2022-01-31 14:45:43,Yes,david icke,reptilians,illuminati,4,30-39,Female,Lean left,Associate's degree
2022-01-31 15:00:15,Yes,jfk,moon landing,aliens,1,30-39,Male,Hard left,Associate's degree
2022-01-31 16:21:00,No,JFK assassination,flat earth,moon landing,2,30-39,Male,Hard left,Associate's degree
2022-01-31 16:27:24,Yes,what is it really when planes fly in the air,What kind of chemicals are being put in our food,how are hot dogs really made,9,30-39,Female,Moderate/centrist,Bachelor's degree
2022-02-05 9:46:37,Yes,did we really land on the moon,are aliens real,did the government supply crack to America,2,40-49,Female,Moderate/centrist,Bachelor's degree
2022-02-05 9:54:07,Yes,covid vaccine nanobots,JFK assassination conspiracy,fake moon landing,3,40-49,Male,Lean left,Bachelor's degree
2022-02-05 9:52:41,Yes,moon landing hoax,building 7 twin towers,magic bullet theory,3,50-59,Male,Moderate/centrist,Bachelor's degree
2022-02-05 9:56:38,,moon landing fake,earth is flat,john f kennedy inside job,0,50-59,Male,Lean left,Less than high school
2022-02-05 10:15:53,Yes,false facts,True or false,Never solved,8,50-59,Male,Lean left,High school
2022-02-05 10:19:58,Yes,moon landing,9/11,2020 election,3,60+,Male,Moderate/centrist,Bachelor's degree
2022-02-05 10:37:28,No,moon landing,flat earth,global warming,1,50-59,Female,Moderate/centrist,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-05 10:38:20,Yes,aliens exist,911 is fake,us did not land on the moon,9,30-39,Male,Lean left,Bachelor's degree
2022-02-05 11:16:45,Yes,fed conspiracies,9/11 truth,bilderberg,3,30-39,Male,Moderate/centrist,High school
